Date	Minimum Cumulative Wind Stress (N/m^2 Days)
2024-03-30 00:00:00	-0.065
2024-03-31 00:00:00	-0.201
2024-04-01 00:00:00	-0.229
2024-04-02 00:00:00	-0.246
2024-04-03 00:00:00	-0.256
2024-04-04 00:00:00	-0.278
2024-04-05 00:00:00	-0.29
2024-04-06 00:00:00	-0.29
2024-04-07 00:00:00	-0.29
2024-04-08 00:00:00	-0.29
2024-04-09 00:00:00	-0.29
2024-04-10 00:00:00	-0.29
2024-04-11 00:00:00	-0.29
2024-04-12 00:00:00	-0.29
2024-04-13 00:00:00	-0.29
2024-04-14 00:00:00	-0.336
2024-04-15 00:00:00	-0.372
2024-04-16 00:00:00	-0.414
2024-04-17 00:00:00	-0.475
2024-04-18 00:00:00	-0.534
2024-04-19 00:00:00	-0.577
2024-04-20 00:00:00	-0.577
2024-04-21 00:00:00	-0.579
2024-04-22 00:00:00	-0.639
2024-04-23 00:00:00	-0.69
2024-04-24 00:00:00	-0.695
2024-04-25 00:00:00	-0.695
2024-04-26 00:00:00	-0.695
2024-04-27 00:00:00	-0.695
2024-04-28 00:00:00	-0.695
2024-04-29 00:00:00	-0.695
2024-04-30 00:00:00	-0.695
2024-05-01 00:00:00	-0.695
2024-05-02 00:00:00	-0.695
2024-05-03 00:00:00	-0.695
2024-05-04 00:00:00	-0.695
2024-05-05 00:00:00	-0.695
2024-05-06 00:00:00	-0.695
2024-05-07 00:00:00	-0.695
2024-05-08 00:00:00	-0.695
2024-05-09 00:00:00	-0.695
2024-05-10 00:00:00	-0.695
2024-05-11 00:00:00	-0.695
2024-05-12 00:00:00	-0.695
2024-05-13 00:00:00	-0.695
2024-05-14 00:00:00	-0.699
2024-05-15 00:00:00	-0.849
2024-05-16 00:00:00	-0.905
2024-05-17 00:00:00	-0.932
2024-05-18 00:00:00	-0.971
2024-05-19 00:00:00	-0.98
2024-05-20 00:00:00	-1.017
2024-05-21 00:00:00	-1.027
2024-05-22 00:00:00	-1.027
2024-05-23 00:00:00	-1.027
2024-05-24 00:00:00	-1.027
2024-05-25 00:00:00	-1.04
2024-05-26 00:00:00	-1.04
2024-05-27 00:00:00	-1.043
2024-05-28 00:00:00	-1.045
2024-05-29 00:00:00	-1.045
2024-05-30 00:00:00	-1.089
2024-05-31 00:00:00	-1.149
2024-06-01 00:00:00	-1.152
2024-06-02 00:00:00	-1.152
2024-06-03 00:00:00	-1.152
2024-06-04 00:00:00	-1.152
2024-06-05 00:00:00	-1.152
2024-06-06 00:00:00	-1.152
2024-06-07 00:00:00	-1.152
2024-06-08 00:00:00	-1.152
2024-06-09 00:00:00	-1.152
2024-06-10 00:00:00	-1.152
2024-06-11 00:00:00	-1.152
2024-06-12 00:00:00	-1.152
2024-06-13 00:00:00	-1.192
2024-06-14 00:00:00	-1.192
2024-06-15 00:00:00	-1.192
2024-06-16 00:00:00	-1.192
2024-06-17 00:00:00	-1.192
2024-06-18 00:00:00	-1.198
2024-06-19 00:00:00	-1.245
2024-06-20 00:00:00	-1.291
2024-06-21 00:00:00	-1.325
2024-06-22 00:00:00	-1.334
2024-06-23 00:00:00	-1.338
2024-06-24 00:00:00	-1.361
2024-06-25 00:00:00	-1.394
2024-06-26 00:00:00	-1.394
2024-06-27 00:00:00	-1.394
2024-06-28 00:00:00	-1.394
2024-06-29 00:00:00	-1.394
2024-06-30 00:00:00	-1.394
2024-07-01 00:00:00	-1.394
2024-07-02 00:00:00	-1.433
2024-07-03 00:00:00	-1.51
2024-07-04 00:00:00	-1.597
2024-07-05 00:00:00	-1.662
2024-07-06 00:00:00	-1.725
2024-07-07 00:00:00	-1.754
2024-07-08 00:00:00	-1.797
2024-07-09 00:00:00	-1.855
2024-07-10 00:00:00	-1.868
2024-07-11 00:00:00	-1.977
2024-07-12 00:00:00	-2.092
2024-07-13 00:00:00	-2.149
2024-07-14 00:00:00	-2.191
2024-07-15 00:00:00	-2.256
2024-07-16 00:00:00	-2.294
2024-07-17 00:00:00	-2.294
2024-07-18 00:00:00	-2.294
2024-07-19 00:00:00	-2.294
2024-07-20 00:00:00	-2.294
2024-07-21 00:00:00	-2.307
2024-07-22 00:00:00	-2.349
2024-07-23 00:00:00	-2.407
2024-07-24 00:00:00	-2.434
2024-07-25 00:00:00	-2.452
2024-07-26 00:00:00	-2.54
2024-07-27 00:00:00	-2.57
2024-07-28 00:00:00	-2.57
2024-07-29 00:00:00	-2.57
2024-07-30 00:00:00	-2.57
2024-07-31 00:00:00	-2.57
2024-08-01 00:00:00	-2.57
2024-08-02 00:00:00	-2.57
2024-08-03 00:00:00	-2.57
2024-08-04 00:00:00	-2.592
2024-08-05 00:00:00	-2.607
2024-08-06 00:00:00	-2.618
2024-08-07 00:00:00	-2.655
2024-08-08 00:00:00	-2.714
2024-08-09 00:00:00	-2.714
2024-08-10 00:00:00	-2.714
2024-08-11 00:00:00	-2.73
2024-08-12 00:00:00	-2.73
2024-08-13 00:00:00	-2.73
2024-08-14 00:00:00	-2.733
2024-08-15 00:00:00	-2.733
2024-08-16 00:00:00	-2.741
2024-08-17 00:00:00	-2.756
2024-08-18 00:00:00	-2.756
2024-08-19 00:00:00	-2.756
2024-08-20 00:00:00	-2.756
2024-08-21 00:00:00	-2.756
2024-08-22 00:00:00	-2.756
2024-08-23 00:00:00	-2.756
2024-08-24 00:00:00	-2.756
2024-08-25 00:00:00	-2.756
2024-08-26 00:00:00	-2.756
2024-08-27 00:00:00	-2.756
2024-08-28 00:00:00	-2.799
2024-08-29 00:00:00	-2.84
2024-08-30 00:00:00	-2.847
2024-08-31 00:00:00	-2.847
2024-09-01 00:00:00	-2.847
2024-09-02 00:00:00	-2.847
2024-09-03 00:00:00	-2.847
2024-09-04 00:00:00	-2.857
2024-09-05 00:00:00	-2.864
2024-09-06 00:00:00	-2.864
2024-09-07 00:00:00	-2.864
2024-09-08 00:00:00	-2.864
2024-09-09 00:00:00	-2.908
2024-09-10 00:00:00	-2.934
2024-09-11 00:00:00	-2.934
2024-09-12 00:00:00	-2.934
2024-09-13 00:00:00	-2.934
2024-09-14 00:00:00	-2.934
2024-09-15 00:00:00	-2.934
2024-09-16 00:00:00	-2.97
2024-09-17 00:00:00	-2.97
2024-09-18 00:00:00	-2.97
2024-09-19 00:00:00	-3.002
2024-09-20 00:00:00	-3.043
2024-09-21 00:00:00	-3.075
2024-09-22 00:00:00	-3.1
2024-09-23 00:00:00	-3.13
2024-09-24 00:00:00	-3.168
2024-09-25 00:00:00	-3.168
2024-09-26 00:00:00	-3.168
2024-09-27 00:00:00	-3.168
2024-09-28 00:00:00	-3.185
2024-09-29 00:00:00	-3.193
2024-09-30 00:00:00	-3.215
2024-10-01 00:00:00	-3.225
2024-10-02 00:00:00	-3.287
2024-10-03 00:00:00	-3.323
2024-10-04 00:00:00	-3.323
2024-10-05 00:00:00	-3.324
2024-10-06 00:00:00	-3.342
2024-10-07 00:00:00	-3.353
2024-10-08 00:00:00	-3.353
2024-10-09 00:00:00	-3.353
2024-10-10 00:00:00	-3.357
2024-10-11 00:00:00	-3.357
2024-10-12 00:00:00	-3.357
2024-10-13 00:00:00	-3.357
2024-10-14 00:00:00	-3.357
2024-10-15 00:00:00	-3.357
2024-10-16 00:00:00	-3.357
2024-10-17 00:00:00	-3.357
2024-10-18 00:00:00	-3.357
2024-10-19 00:00:00	-3.357
2024-10-20 00:00:00	-3.357
2024-10-21 00:00:00	-3.357
2024-10-22 00:00:00	-3.357
2024-10-23 00:00:00	-3.357
2024-10-24 00:00:00	-3.357
2024-10-25 00:00:00	-3.357
2024-10-26 00:00:00	-3.357
2024-10-27 00:00:00	-3.357
2024-10-28 00:00:00	-3.357
2024-10-29 00:00:00	-3.357
2024-10-30 00:00:00	-3.357
2024-10-31 00:00:00	-3.357
2024-11-01 00:00:00	-3.357
2024-11-02 00:00:00	-3.357
2024-11-03 00:00:00	-3.357
2024-11-04 00:00:00	-3.357
2024-11-05 00:00:00	-3.357
2024-11-06 00:00:00	-3.357
2024-11-07 00:00:00	-3.357
2024-11-08 00:00:00	-3.357
2024-11-09 00:00:00	-3.357
2024-11-10 00:00:00	-3.357
2024-11-11 00:00:00	-3.357
2024-11-12 00:00:00	-3.357
2024-11-13 00:00:00	-3.357
2024-11-14 00:00:00	-3.357
2024-11-15 00:00:00	-3.357
2024-11-16 00:00:00	-3.357
2024-11-17 00:00:00	-3.357
2024-11-18 00:00:00	-3.357
2024-11-19 00:00:00	-3.357
2024-11-20 00:00:00	-3.357
2024-11-21 00:00:00	-3.357
2024-11-22 00:00:00	-3.357
2024-11-23 00:00:00	-3.357
2024-11-24 00:00:00	-3.357
2024-11-25 00:00:00	-3.357
2024-11-26 00:00:00	-3.357
2024-11-27 00:00:00	-3.357
2024-11-28 00:00:00	-3.357
2024-11-29 00:00:00	-3.357
2024-11-30 00:00:00	-3.357
2024-12-01 00:00:00	-3.357
2024-12-02 00:00:00	-3.357
2024-12-03 00:00:00	-3.357
2024-12-04 00:00:00	-3.357
2024-12-05 00:00:00	-3.357
2024-12-06 00:00:00	-3.357
2024-12-07 00:00:00	-3.357
2024-12-08 00:00:00	-3.357
2024-12-09 00:00:00	-3.357
2024-12-10 00:00:00	-3.357
2024-12-11 00:00:00	-3.357
2024-12-12 00:00:00	-3.357
2024-12-13 00:00:00	-3.357
2024-12-14 00:00:00	-3.357
