#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 01 01 00 00  77  1.8  2.2 99.00 99.00 99.00 999 9999.0  10.7 999.0 999.0 99.0 99.00
2024 01 01 06 00  82  3.5  4.3 99.00 99.00 99.00 999 9999.0   6.0 999.0 999.0 99.0 99.00
2024 01 01 07 00  82  3.6  4.6 99.00 99.00 99.00 999 9999.0   5.6 999.0 999.0 99.0 99.00
2024 01 01 08 00  77  3.3  4.0 99.00 99.00 99.00 999 9999.0   5.4 999.0 999.0 99.0 99.00
2024 01 01 09 00  79  3.6  4.7 99.00 99.00 99.00 999 9999.0   5.1 999.0 999.0 99.0 99.00
2024 01 01 10 00  76  4.2  5.3 99.00 99.00 99.00 999 9999.0   5.0 999.0 999.0 99.0 99.00
2024 01 01 11 00  71  5.1  6.7 99.00 99.00 99.00 999 9999.0   4.9 999.0 999.0 99.0 99.00
2024 01 01 12 00  82  3.9  5.1 99.00 99.00 99.00 999 9999.0   5.0 999.0 999.0 99.0 99.00
2024 01 01 13 00  73  3.3  4.2 99.00 99.00 99.00 999 9999.0   5.0 999.0 999.0 99.0 99.00
2024 01 01 14 00  88  5.6  7.1 99.00 99.00 99.00 999 9999.0   5.1 999.0 999.0 99.0 99.00
2024 01 01 15 00  86  4.3  5.8 99.00 99.00 99.00 999 9999.0   5.0 999.0 999.0 99.0 99.00
2024 01 01 16 00  85  4.5  6.1 99.00 99.00 99.00 999 9999.0   4.9 999.0 999.0 99.0 99.00
2024 01 01 17 00  85  6.4  8.4 99.00 99.00 99.00 999 9999.0   5.2 999.0 999.0 99.0 99.00
2024 01 01 18 00  90  5.3  6.6 99.00 99.00 99.00 999 9999.0   6.2 999.0 999.0 99.0 99.00
2024 01 01 19 00  89  4.9  6.9 99.00 99.00 99.00 999 9999.0   7.6 999.0 999.0 99.0 99.00
2024 01 01 20 00  83  3.3  4.1 99.00 99.00 99.00 999 9999.0   9.1 999.0 999.0 99.0 99.00
2024 01 01 21 00  91  3.6  4.6 99.00 99.00 99.00 999 9999.0   9.4 999.0 999.0 99.0 99.00
2024 01 01 22 00  81  4.3  5.0 99.00 99.00 99.00 999 9999.0   9.2 999.0 999.0 99.0 99.00
2024 01 01 23 00  85  4.2  5.8 99.00 99.00 99.00 999 9999.0   8.7 999.0 999.0 99.0 99.00
2024 01 02 00 00  93  3.6  4.4 99.00 99.00 99.00 999 9999.0   8.3 999.0 999.0 99.0 99.00
2024 01 02 01 00  89  4.3  6.2 99.00 99.00 99.00 999 9999.0   7.7 999.0 999.0 99.0 99.00
2024 01 02 02 00  82  4.8  6.0 99.00 99.00 99.00 999 9999.0   7.3 999.0 999.0 99.0 99.00
2024 01 02 03 00  89  4.1  5.3 99.00 99.00 99.00 999 9999.0   7.0 999.0 999.0 99.0 99.00
2024 01 02 04 00  78  5.7  6.6 99.00 99.00 99.00 999 9999.0   6.9 999.0 999.0 99.0 99.00
2024 01 02 05 00  80  5.8  7.8 99.00 99.00 99.00 999 9999.0   6.6 999.0 999.0 99.0 99.00
2024 01 02 06 00  80  5.1  7.5 99.00 99.00 99.00 999 9999.0   6.3 999.0 999.0 99.0 99.00
